cohort	category	mean	lower	upper	mean_diff	mean_diff_lower	mean_diff_upper	Gene
MM	DMis	0.0159465633265407	0.00556622955240609	0.0263268971006753	0.0140572528771715	0.00303771598682774	0.0250767897675153	Constrained genes
SSC	DMis	0.00188931044936915	-0.00181987931162053	0.00559850021035883	0.0140572528771715	0.00303771598682774	0.0250767897675153	Constrained genes
MM	DMisL2	0.047839689979622	0.0300737654448255	0.0656056145144185	0.0270572750365613	0.00551159951987933	0.0486029505532434	Constrained genes
SSC	DMisL2	0.0207824149430607	0.00856579646657493	0.0329990334195464	0.0270572750365613	0.00551159951987933	0.0486029505532434	Constrained genes
MM	DMisM	0.0513833707188533	0.0329959336069509	0.0697708078307557	0.0268223348770543	0.00416767740103035	0.0494769923530782	Constrained genes
SSC	DMisM	0.024561035841799	0.0112988111934174	0.0378232604901805	0.0268223348770543	0.00416767740103035	0.0494769923530782	Constrained genes
MM	DMisMC	0.0460678496100064	0.0286223310865087	0.0635133681335041	0.0309533660150532	0.0106352895413586	0.0512714424887477	Constrained genes
SSC	DMisMC	0.0151144835949532	0.00467422133582964	0.0255547458540768	0.0309533660150532	0.0106352895413586	0.0512714424887477	Constrained genes
MM	DMisMC2	0.0513833707188533	0.0329959336069509	0.0697708078307557	0.0268223348770543	0.00416767740103035	0.0494769923530782	Constrained genes
SSC	DMisMC2	0.024561035841799	0.0112988111934174	0.0378232604901805	0.0268223348770543	0.00416767740103035	0.0494769923530782	Constrained genes
MM	DamagingL	0.0797328166327034	0.0565473876594403	0.102918245605966	0.0419466076453203	0.0131054656748938	0.0707877496157468	Constrained genes
SSC	DamagingL	0.0377862089873831	0.020596534022214	0.0549758839525522	0.0419466076453203	0.0131054656748938	0.0707877496157468	Constrained genes
MM	DamagingS	0.047839689979622	0.0294045264153293	0.0662748535439148	0.0289465854859305	0.00652870274988775	0.0513644682219732	Constrained genes
SSC	DamagingS	0.0188931044936915	0.00610942359241318	0.0316767853949699	0.0289465854859305	0.00652870274988775	0.0513644682219732	Constrained genes
MM	DamagingL2	0.0797328166327034	0.0565473876594403	0.102918245605966	0.0419466076453203	0.0131054656748938	0.0707877496157468	Constrained genes
SSC	DamagingL2	0.0377862089873831	0.020596534022214	0.0549758839525522	0.0419466076453203	0.0131054656748938	0.0707877496157468	Constrained genes
MM	DamagingM	0.0832764973719346	0.0596353442544972	0.106917650489372	0.0436009779351824	0.0141714714898231	0.0730304843805418	Constrained genes
SSC	DamagingM	0.0396755194367522	0.0221118681261883	0.0572391707473161	0.0436009779351824	0.0141714714898231	0.0730304843805418	Constrained genes
MM	DamagingMC	0.0779609762630877	0.0550078274352703	0.100914125090905	0.0458426986238121	0.0178785460470397	0.0738068512005846	Constrained genes
SSC	DamagingMC	0.0321182776392756	0.0161099732463742	0.048126582032177	0.0458426986238121	0.0178785460470397	0.0738068512005846	Constrained genes
MM	DamagingMC2	0.0832764973719346	0.0596353442544972	0.106917650489372	0.0436009779351824	0.0141714714898231	0.0730304843805418	Constrained genes
SSC	DamagingMC2	0.0396755194367522	0.0221118681261883	0.0572391707473161	0.0436009779351824	0.0141714714898231	0.0730304843805418	Constrained genes
MM	OtherMissense	0.0637862533061627	0.043396219205473	0.0841762874068524	NA	NA	NA	Constrained genes
SSC	OtherMissense	0.0415648298861214	0.0244217124546064	0.0587079473176364	NA	NA	NA	Constrained genes
MM	Synonymous	0.0442960092403908	0.0264842165951074	0.0621078018856741	NA	NA	NA	Constrained genes
SSC	Synonymous	0.0415648298861214	0.0244217124546064	0.0587079473176364	NA	NA	NA	Constrained genes
